csv_id,feature,priority,execution_mode,status,automation_spec,blocking_reason,owner
1,Login,P0,automated,implemented,tests/e2e/auth/login.spec.ts,,qa-automation
2,New Patient registration,P0,automated,implemented,tests/e2e/patients/new-patient.spec.ts,,qa-automation
3,New Patient registration,P0,automated,implemented,tests/e2e/patients/new-patient.spec.ts,,qa-automation
4,New Patient registration,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
5,New Patient registration,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
6,New Patient registration,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
7,New Patient registration,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
8,New Patient registration,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
9,New Patient registration,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
10,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
11,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
12,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
13,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
14,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
15,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
16,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
17,New Appointment,P0,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
18,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
19,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
20,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
21,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
22,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
23,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
24,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
25,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
26,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
27,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
28,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
29,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
30,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
31,Appointment Queue,P0,blocked,blocked,N/A,Feature flow is not fully available in current mobile UI/API integration.,product+engineering
32,Patients Profile – View Patient Profile,P1,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
33,Patients Profile – Edit Profile Details,P1,manual,pending-automation,manual-checklist,Covered in release checklist until deterministic selectors and stable assertions are added.,qa
